Link,URL,Composer,Librettist,Genre,Year,Location,City,Region,Country
Gycklarnas Hamlet,http://operadata.stanford.edu/catalog/10115226,Thomas Jennefelt,Bengt Nordfors,Operas,1990,"Göteborg, Göteborg och Bohus, Sweden",Göteborg,Göteborg och Bohus,Sweden
Hamlet,http://operadata.stanford.edu/catalog/10102407,Pascal Bentoiu,Pascal Bentoiu,Operas,1974,"Marseille, Bouches-du-Rhône, France",Marseille,Bouches-du-Rhône,France
Hamlet,http://operadata.stanford.edu/catalog/10103131,Boris Blacher,Tatjana Gsovsky,Operas,1950,"Munich, Bayern, Germany",Munich,Bayern,Germany
Hamlet,http://operadata.stanford.edu/catalog/10114268,Jean-Louis-Aristide Hignard,Pierre de Garal,Operas,1888,"Nantes, Loire-Atlantique, France",Nantes,Loire-Atlantique,France
Hamlet,http://operadata.stanford.edu/catalog/10119329,Max Maretzek,,Operas,1840,"Brno, Jihomoravsky Kraj, Czech Republic",Brno,Jihomoravsky Kraj,Czech Republic
Hamlet,http://operadata.stanford.edu/catalog/10125967,Hermann Reutter,Hermann Reutter,Operas,1980,"Stuttgart, Baden-Württemberg, Germany",Stuttgart,Baden-Württemberg,Germany
Hamlet,http://operadata.stanford.edu/catalog/10128802,Humphrey Searle,Humphrey Searle,Operas,1968,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Germany
Hamlet,http://operadata.stanford.edu/catalog/10129686,Alexander Stadtfeld,Jules Guillaume,Operas,1882,"Weimar, Thüringen, Germany",Weimar,Thüringen,Germany
Hamlet,http://operadata.stanford.edu/catalog/10130451,Sándor Szokolay,Sándor Szokolay,Operas,1968,"Budapest,  Hungary",Budapest,,Hungary
Hamlets,http://operadata.stanford.edu/catalog/10115606,Janis Kalnins,Janis Kalnins,Operas,1936,"Riga,  Latvia",Riga,,Latvia
Hermione,http://operadata.stanford.edu/catalog/10104227,Max Bruch,Karl Emil Hopffer,Operas,1872,"Berlin, Berlin, Germany",Berlin,Berlin,Germany
The Hood of the Woods Meets the Dark Lady,http://operadata.stanford.edu/catalog/10129023,Stu Shepherd,Stu Shepherd,Operas,1984,"Rochester, New York, United States",Rochester,New York,United States
Imod vandmandens tegn (Towards Aquarius),http://operadata.stanford.edu/catalog/10110716,Ingolf Gabold,,Operas,1973,"Copenhagen, Hovedstaden, Denmark",Copenhagen,Hovedstaden,Denmark
Jessika,http://operadata.stanford.edu/catalog/10110136,Josef Bohuslav Foerster,[Emil Bohus Frída] Jaroslav Vrchlický,Operas,1905,"Prague,  Czech Republic",Prague,,Czech Republic
Juliette et Rom矇o,http://operadata.stanford.edu/catalog/10126659,Léon Rosellen,Léon Rosellen,Operas,1894,"Colombes, Hauts-de-Seine, France",Colombes,Hauts-de-Seine,France
Julius Caesar,http://operadata.stanford.edu/catalog/10128355,Alan Schmitz,Alan Schmitz,Operas,1978,"New Brunswick, New Jersey, United States",New Brunswick,New Jersey,United States
King Lear,http://operadata.stanford.edu/catalog/10120053,Ron McFarland,Ron McFarland,Operas,1989,"Mill Valley, California, United States",Mill Valley,California,United States
Die Kom繹die der Irrungen,http://operadata.stanford.edu/catalog/10118458,Carl Lorenz,Carl Lorenz,Operas,1939,"Szczecin, Zachodniopomorskie, Poland",Szczecin,Zachodniopomorskie,Poland
Die Kom繹die der Irrungen,http://operadata.stanford.edu/catalog/10133088,Franz Wödl,Roland Gugg,Operas,1941,"Bytom, Slaskie, Poland",Bytom,Slaskie,Poland
Kralj Lear (King Lear),http://operadata.stanford.edu/catalog/10103938,Darijan Bozic,Darijan Bozic,Operas,1986,"Maribor,  Slovenia",Maribor,,Slovenia
Lear,http://operadata.stanford.edu/catalog/10125787,Aribert Reimann,Claus H. Henneberg,Operas,1978,"Munich, Bayern, Germany",Munich,Bayern,Germany
Das Liebesspiel,http://operadata.stanford.edu/catalog/10126677,Richard Rosenberg,Willi Aron,Operas,1929,"Aachen, Nordrhein-Westfallen, Germany",Aachen,Nordrhein-Westfallen,Germany
"Das Liebesverbot, oder Die Novize von Palermo",http://operadata.stanford.edu/catalog/10132404,Richard Wagner,Richard Wagner,Operas,1836,"Magdeburg, Sachsen-Anhalt, Germany",Magdeburg,Sachsen-Anhalt,Germany
Love and Madness!,http://operadata.stanford.edu/catalog/10101112,Samuel Arnold,Francis Godolphin Waldron,Operas,1795,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
Lucrezia,http://operadata.stanford.edu/catalog/10125895,Ottorino Respighi,Claudio Guastalla,Operas,1937,"Milan, Lombardia, Italy",Milan,Lombardia,Italy
Die lustigen Weiber von Windsor,http://operadata.stanford.edu/catalog/10107840,Carl Ditters von Dittersdorf,Carl Ditters von Dittersdorf,Operas,1796,"Olesnica, Dolnoslaskie, Poland",Olesnica,Dolnoslaskie,Poland
